data_type,metric,mean,std,provenance
STARmap,CHAOS,0.0722,0.0022,ground-truth reference used in paper plotting notebook
STARmap,PAS,0.0292,0.0010,ground-truth reference used in paper plotting notebook
STARmap,ASW,0.2565,0.0176,ground-truth reference used in paper plotting notebook
Visium,CHAOS,0.0585,0.0028,ground-truth reference used in paper plotting notebook
Visium,PAS,0.0115,0.0050,ground-truth reference used in paper plotting notebook
Visium,ASW,0.0422,0.0545,ground-truth reference used in paper plotting notebook
MERFISH,CHAOS,0.0282,0.0006,ground-truth reference used in paper plotting notebook
MERFISH,PAS,0.0253,0.0047,ground-truth reference used in paper plotting notebook
MERFISH,ASW,-0.0681,0.0225,ground-truth reference used in paper plotting notebook
